Author                                                                 ;Definition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Interpretation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Origin                                                                                                                                                  ;Discipline                                        ;Year ;Title                                                                                                                                                                    ;Doi                                                                     ;Search Keys                                                              ;Url
Webster’s New World College Dictionary,                                ;" active force; action; power"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Engineering, physical but broad                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;American English                                                                                                                                        ;Lexicography                                      ;2010 ;na                                                                                                                                                                       ;na                                                                      ;"minimal agency; autonomy; synthetic agents; natural agents; regulation" ;https://www.collinsdictionary.com/dictionary/english/agency
Webster’s New World College Dictionary,                                ;"that by which something is done; means; instrumentality"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Instrumental and operational                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;American English                                                                                                                                        ;Lexicography                                      ;2010 ;na                                                                                                                                                                       ;na                                                                      ;"minimal agency; autonomy; synthetic agents; natural agents; regulation" ;https://www.collinsdictionary.com/dictionary/english/agency
Cambridge Dictionary                                                   ;A business that represents one group of people when dealing with another group .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;From a business law perspective                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;British English                                                                                                                                         ;Economics                                         ;1861 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://dictionary.cambridge.org/dictionary/english/agency
Cambridge Dictionary                                                   ;The ability to act independently and make free choices .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;From a business law perspective                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;British English                                                                                                                                         ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://dictionary.cambridge.org/dictionary/english/agency
Britannica Dictionary                                                  ;A business that provides a particular service .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;From a business law perspective                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;British English                                                                                                                                         ;Economics                                         ;1847 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.britannica.com/dictionary/agency
Britannica Dictionary                                                  ;A government department responsible for a particular activity, area, etc. .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;In the legal sense                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;British English                                                                                                                                         ;Law                                               ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.britannica.com/dictionary/agency
Vocabulary.com                                                         ;The state of being in action or exerting power .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;In the legal sense                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;na                                                                                                                                                      ;Philosophical                                     ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.vocabulary.com/dictionary/agency
Vocabulary.com                                                         ;The state of serving as an official and authorized representative .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;In the legal sense                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;na                                                                                                                                                      ;Law                                               ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.vocabulary.com/dictionary/agency
Vocabulary.com                                                         ;An institution that manages or specializes in something .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;In the organisational sense                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;na                                                                                                                                                      ;Law                                               ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.vocabulary.com/dictionary/agency
Meld Marketing                                                         ;An advertising agency is a one-stop-shop for advertising your product or business .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Agency definitions drawing from economics into a marketing and advertising, hence a corporate communication lexicon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;                                                                                                                                                        ;Marketing                                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://meldmarketing.com/blog/defining-the-agency-agency-types-benefits-and-limitations/
Meld Marketing                                                         ;A branding agency focuses on the creation or refreshing of your brand .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Agency definitions drawi from economics into a marketing and advertising, hence a corporate communication lexicon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;na                                                                                                                                                      ;Marketing                                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://meldmarketing.com/blog/defining-the-agency-agency-types-benefits-and-limitations/
Meld Marketing                                                         ;A creative agency or design firm brings high levels of creativity across a variety of platforms .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Agency definitions drawi from economics into a marketing and advertising, hence a corporate communication lexicon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;na                                                                                                                                                      ;Marketing                                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://meldmarketing.com/blog/defining-the-agency-agency-types-benefits-and-limitations/
Meld Marketing                                                         ;A digital agency focuses on maximizing the use of digital screens to reach audiences .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Agency definitions drawi from economics into a marketing and advertising, hence a corporate communication lexicon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;na                                                                                                                                                      ;Marketing                                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://meldmarketing.com/blog/defining-the-agency-agency-types-benefits-and-limitations/
Meld Marketing                                                         ;A full-service marketing agency provides a wide range of marketing services .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Agency definitions drawi from economics into a marketing and advertising, hence a corporate communication lexicon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;na                                                                                                                                                      ;Marketing                                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://meldmarketing.com/blog/defining-the-agency-agency-types-benefits-and-limitations/
Meld Marketing                                                         ;A media agency focuses on purchasing advertising with media outlets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Agency definitions drawi from economics into a marketing and advertising, hence a corporate communication lexicon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;na                                                                                                                                                      ;Marketing                                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://meldmarketing.com/blog/defining-the-agency-agency-types-benefits-and-limitations/
Simplicable                                                            ;The capacity of a person to act in a situation, system, or environment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Agency definitions drawi from economics into a marketing and advertising, hence a corporate communication lexicon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;na                                                                                                                                                      ;Business Ethics                                   ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://simplicable.com/new/agency
